px_t,py_t,v_t,psi_t,omega_t,a_t,delta_t,px_t1,py_t1,v_t1,psi_t1,omega_t1
1.6282771966504268,-1.6867831822143495,31.622776601683793,-5.289473684210531,-7.894736842105264,0.25790074501321797,0.0008688787843231663,1.6282982176592558,-1.6868265530774305,31.622776601683793,-5.368421052631584,-7.894736842105264
1.6282982176592558,-1.6868265530774305,31.622776601683793,-5.368421052631584,-7.894736842105264,0.2882420091324201,0.0009710997568900206,1.6283187404473172,-1.6868828924727897,31.622776601683793,-5.436842105263163,-6.842105263157895
1.6283187404473172,-1.6868828924727897,31.622776601683793,-5.436842105263163,-6.842105263157895,-0.2882420091324201,-0.0009710997568900206,1.6283387278988581,-1.6869501902232353,31.622776601683793,-5.505263157894742,-6.842105263157895
1.6283387278988581,-1.6869501902232353,31.622776601683793,-5.505263157894742,-6.842105263157895,-0.25790074501321797,-0.0008688787843231661,1.6283580864803127,-1.6870281314012447,31.622776601683793,-5.573684210526322,-6.842105263157895
1.6283580864803127,-1.6870281314012447,31.622776601683793,-5.573684210526322,-6.842105263157895,-0.2275594808940159,-0.000766657793598254,1.628376725600984,-1.687116351272159,31.622776601683793,-5.642105263157901,-6.842105263157895
1.628376725600984,-1.687116351272159,31.622776601683793,-5.642105263157901,-6.842105263157895,-0.19721821677481374,-0.0006644367868515208,1.6283945580369752,-1.6872144370009992,31.622776601683793,-5.71052631578948,-6.842105263157895
1.6283945580369752,-1.6872144370009992,31.622776601683793,-5.71052631578948,-6.842105263157895,-0.16687695265561164,-0.0005622157662192056,1.6284115003393616,-1.6873219295843755,31.622776601683793,-5.778947368421059,-6.842105263157895
1.6284115003393616,-1.6873219295843755,31.622776601683793,-5.778947368421059,-6.842105263157895,-0.13653568853640954,-0.00045999473383754854,1.6284274732247004,-1.687438325998447,31.622776601683793,-5.847368421052638,-6.842105263157895
1.6284274732247004,-1.687438325998447,31.622776601683793,-5.847368421052638,-6.842105263157895,-0.1061944244172074,-0.0003577736918427917,1.6284424019460477,-1.6875630815528773,31.622776601683793,-5.915789473684217,-6.842105263157895
1.6284424019460477,-1.6875630815528773,31.622776601683793,-5.915789473684217,-6.842105263157895,-0.07585316029800529,-0.00025555264237117815,1.6284562166427445,-1.6876956124397768,31.622776601683793,-5.984210526315796,-6.842105263157895
1.6284562166427445,-1.6876956124397768,31.622776601683793,-5.984210526315796,-6.842105263157895,-0.045511896178803184,-0.00015333158755895205,1.628468852667336,-1.6878352984656984,31.622776601683793,-6.052631578947376,-6.842105263157895
1.628468852667336,-1.6878352984656984,31.622776601683793,-6.052631578947376,-6.842105263157895,-0.015170632059601064,-5.111052954235819e-05,1.6284802508881009,-1.687981485953903,31.622776601683793,-6.121052631578955,-6.842105263157895
1.6284802508881009,-1.687981485953903,31.622776601683793,-6.121052631578955,-6.842105263157895,0.01517063205960103,5.111052954235819e-05,1.6284903579657601,-1.6881334908033152,31.622776601683793,-6.189473684210534,-6.842105263157895
1.6284903579657601,-1.6881334908033152,31.622776601683793,-6.189473684210534,-6.842105263157895,0.04551189617880315,0.00015333158755895205,1.628499126603088,-1.6882906016898518,31.622776601683793,-6.257894736842113,-6.842105263157895
1.628499126603088,-1.6882906016898518,31.622776601683793,-6.257894736842113,-6.842105263157895,0.07585316029800529,0.00025555264237117815,1.6285065157662422,-1.6884520833951455,31.622776601683793,-6.326315789473693,-6.842105263157895
1.6285065157662422,-1.6884520833951455,31.622776601683793,-6.326315789473693,-6.842105263157895,0.1061944244172074,0.00035777369184279164,1.6285124908767894,-1.6886171802470817,31.622776601683793,-6.394736842105272,-6.842105263157895
1.6285124908767894,-1.6886171802470817,31.622776601683793,-6.394736842105272,-6.842105263157895,0.13653568853640954,0.00045999473383754864,1.6285170239735156,-1.6887851196560544,31.622776601683793,-6.463157894736851,-6.842105263157895
1.6285170239735156,-1.6887851196560544,31.622776601683793,-6.463157894736851,-6.842105263157895,0.16687695265561164,0.0005622157662192056,1.6285200938432765,-1.688955115730386,31.622776601683793,-6.5315789473684305,-6.842105263157895
1.6285200938432765,-1.688955115730386,31.622776601683793,-6.5315789473684305,-6.842105263157895,0.19721821677481371,0.0006644367868515209,1.6285216861202645,-1.6891263729539983,31.622776601683793,-6.600000000000009,-6.842105263157895
1.6285216861202645,-1.6891263729539983,31.622776601683793,-6.600000000000009,-6.842105263157895,0.22755948089401587,0.000766657793598254,1.628521793353238,-1.6892980899091208,31.622776601683793,-6.668421052631588,-6.842105263157895
